id,ax,ay,az
579,11.712,-13.664,1002.352
580,14.152,-12.2,1005.768
581,11.712,-18.056,1004.792
582,15.128,-17.08,1001.376
583,11.712,-16.104,1003.816
584,9.272,-19.032,1001.376
585,12.2,-18.544,1006.744
586,14.152,-14.64,1004.304
587,13.664,-17.568,1003.816
588,10.736,-15.616,997.472
589,13.664,-15.128,996.984
590,12.688,-17.08,1002.352
591,11.224,-15.128,1001.376
592,13.176,-16.104,1001.864
593,14.152,-15.616,1003.816
594,17.568,-15.128,1003.816
595,12.2,-14.64,1002.352
596,12.688,-15.616,1001.864
597,14.152,-13.176,998.936
598,14.64,-17.08,1003.328
599,13.664,-15.616,998.936
600,10.736,-14.64,1000.4
601,9.272,-16.104,1004.792
602,11.224,-14.152,1001.376
603,14.152,-13.664,1002.352
604,17.08,-13.176,998.936
605,12.2,-11.712,995.52
606,16.104,-11.712,999.424
607,11.712,-12.688,999.424
608,14.152,-15.616,998.448
609,14.64,-14.64,1001.864
610,13.176,-13.664,1002.352
611,10.248,-16.592,998.448
612,17.568,-17.08,998.448
613,15.616,-18.544,999.424
614,13.176,-17.08,1002.352
615,15.128,-12.688,1001.376
616,13.176,-17.568,1000.888
617,13.176,-16.104,1001.864
618,8.784,-13.176,1000.888
619,15.128,-13.176,1000.4
620,15.616,-18.056,1002.352
621,14.152,-10.736,999.912
622,9.76,-15.128,1004.304
623,14.152,-16.592,1004.304
624,13.664,-15.616,1000.888
625,10.736,-15.128,1001.376
626,13.664,-13.176,1002.84
627,14.152,-12.2,1005.768
628,12.688,-14.64,998.448
629,16.592,-15.128,999.912
630,10.736,-16.592,998.936
631,12.688,-14.152,1000.888
632,12.688,-13.664,1000.888
633,11.712,-12.2,1002.352
634,15.616,-17.08,1001.864
635,17.08,-14.152,1002.352
636,15.616,-17.08,1002.84
637,14.152,-18.056,1002.84
638,11.712,-17.568,1000.888
639,12.688,-13.176,999.912
640,13.176,-14.64,1001.864
641,9.272,-14.64,1003.816
642,13.176,-16.592,998.448
643,11.712,-15.128,996.984
644,11.224,-14.152,999.424
645,11.224,-15.128,1004.792
646,16.592,-17.568,1001.376
647,11.712,-17.08,1000.888
648,12.688,-17.568,997.96
649,15.128,-13.664,1000.888
650,12.688,-15.616,1001.864
651,15.128,-14.64,1005.28
652,12.2,-13.176,1002.84
653,12.2,-17.08,1004.792
654,11.712,-17.568,1002.352
655,13.664,-17.08,999.912
656,14.64,-16.104,1004.304
657,14.64,-12.2,1004.792
658,11.712,-15.616,1001.376
659,11.712,-13.176,1001.864
660,12.688,-16.592,1003.328
661,9.76,-15.616,1002.84
662,13.176,-15.128,1003.816
663,14.152,-12.688,1003.328
664,16.592,-17.568,1005.768
665,14.64,-13.176,1003.816
666,12.2,-11.712,1002.352
667,14.152,-12.688,999.912
668,13.664,-17.568,1007.232
669,16.104,-17.568,1002.352
670,18.056,-18.544,1004.792
671,10.736,-15.616,1001.864
672,11.712,-16.592,1003.328
673,10.736,-14.152,1001.864
674,14.152,-15.616,1001.376
675,12.688,-18.544,998.448
676,11.224,-18.056,1002.352
677,11.712,-15.616,1001.864
678,15.128,-17.08,1001.376
679,14.152,-12.2,1003.816
680,12.688,-13.664,1003.816
681,15.616,-17.08,1006.256
682,12.688,-15.616,1003.816
683,14.64,-14.64,1004.792
684,11.224,-14.64,1004.792
685,15.616,-16.104,1003.816
686,11.712,-16.592,1000.4
687,11.224,-14.64,1002.352
688,13.176,-15.128,999.424
689,15.128,-13.176,1005.28
690,15.128,-14.152,1005.28
691,14.64,-13.664,1002.84
692,15.616,-15.616,1006.744
693,13.176,-15.616,1001.376
694,13.664,-16.104,1005.768
695,18.056,-17.08,1005.28
696,11.224,-15.616,1002.352
697,15.616,-16.592,1000.888
698,12.688,-16.592,1003.328
699,14.152,-17.08,1003.328
700,13.176,-18.056,1002.84
701,12.688,-17.568,1000.888
702,14.152,-15.128,1005.28
703,12.688,-17.568,1002.84
704,13.176,-14.152,1003.328
705,14.152,-17.08,1002.352
706,11.224,-17.568,1002.84
707,12.688,-18.544,1005.28
708,14.64,-17.568,1002.352
709,13.176,-14.64,1004.304
710,12.688,-11.224,1003.816
711,14.64,-17.568,1004.792
712,10.248,-15.616,1006.744
713,15.128,-16.104,1003.328
714,9.76,-16.592,1001.376
715,10.248,-18.544,1001.864
716,13.176,-20.496,1001.376
717,10.736,-18.056,1001.864
718,11.712,-16.104,1002.84
719,9.76,-17.568,1006.256
720,8.784,-22.448,1004.792
721,10.736,-19.52,1003.816
722,9.76,-15.128,997.96
723,11.712,-15.128,997.96
724,11.224,-16.104,1002.84
725,9.272,-19.52,1002.352
726,9.76,-18.544,1004.304
727,12.688,-18.056,1009.184
728,10.736,-19.032,1006.744
729,17.568,-15.616,1003.328
730,13.664,-15.128,1003.328
731,14.152,-18.056,1000.4
732,14.64,-18.544,1003.328
733,14.152,-15.128,1004.304
734,10.736,-17.08,1003.328
735,12.2,-19.52,998.448
